code,name,memberState,importPartner,exportPartner
AT,Austria,True,False,False
BE,Belgium,True,False,False
BG,Bulgaria,True,False,False
HR,Croatia,True,False,False
CY,Cyprus,True,False,False
CZ,Czech Republic,True,False,False
DK,Denmark,True,False,False
EE,Estonia,True,False,False
FI,Finland,True,False,False
FR,France,True,False,False
DE,Germany,True,False,False
GR,Greece,True,False,False
HU,Hungary,True,False,False
IE,Ireland,True,False,False
IT,Italy,True,False,False
LV,Latvia,True,False,False
LT,Lithuania,True,False,False
LU,Luxembourg,True,False,False
MT,Malta,True,False,False
NL,Netherlands,True,False,False
PL,Poland,True,False,False
PT,Portugal,True,False,False
RO,Romania,True,False,False
SK,Slovakia,True,False,False
SI,Slovenia,True,False,False
ES,Spain,True,False,False
SE,Sweden,True,False,False
